A1:1
A2:1
C1:1
C3:1
C6:1
C7:1
C8:1
D10:1
D11:1
D12:1
D13:1
D14:1
D15:1
D9:1
G***:1
J1:1
J10:1
J11:1
J12:1
J13:1
J14:1
J15:1
J16:1
J17:1
J18:1
J19:1
J2:1
J20:1
J21:1
J22:1
J23:1
J3:1
J4:1
J5:1
J6:1
J7:1
J8:1
J9:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
