Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C6",0805,5,4.7u,
C10,0603,1,47n,
"C11, C12, C13, C14",0603,4,47u,
"C5, C9",0603,2,0.1u,
C7,0603,1,6.8n,
C8,0603,1,47p,
"J1, J2",AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,2,Conn_01x02_Pin,
L1,SMMS10505R6M,1,3.3u,
R1,0603,1,100k,
R2,0603,1,20.5k,
R3,0603,1,24.9k,
R4,0603,1,19.1k,
R5,0603,1,5.76k,
R6,0603,1,29.4k,
R7,0603,1,54.9k,
R8,0603,1,1,
R9,1206,1,5m,
U1,RRX0029B-MFG,1,LM70880RRXR,
