Designator,Mid X,Mid Y,Rotation,Layer
C1,151.5,-104.0,0.0,top
C2,144.225,-103.0,0.0,top
C3,136.0,-105.0,270.0,top
C4,153.5,-87.0,270.0,top
J1,124.175,-103.5,90.0,top
J2,124.175,-89.0,90.0,top
J3,159.5,-94.0,270.0,top
R1,156.31,-104.4,0.0,top
U1,146.30365,-93.3325,0.0,top
