Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1u,
C2,0603,1,0.01u,
C3,CP_Radial_D10.0mm_P5.00mm,1,470u,
C4,0603,1,0.1u,
"J1, J2",AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,2,XT30,
J3,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,1,Conn_01x05_Pin,
R1,1206,1,10k,
U1,HTSSOP44-DDW_TEX,1,DRV8262DDWR_Module,
