Designator,Mid X,Mid Y,Rotation,Layer
A1,135.0,-165.585,180.0,top
A2,101.39,-164.51,180.0,top
C1,131.597349,-27.5,0.0,top
C3,129.725,-179.5,0.0,top
C6,122.902651,-27.5,180.0,top
C7,99.902651,-27.0,180.0,top
C8,90.75,-27.0,180.0,top
D10,145.575,-28.5,90.0,top
D11,145.575,-39.5,90.0,top
D12,145.575,-42.5,90.0,top
D13,137.5,-26.425,180.0,top
D14,141.0,-26.425,180.0,top
D15,80.5,-25.23,90.0,top
D9,145.575,-25.5,90.0,top
J1,138.5,-37.0,180.0,top
J10,128.5,-81.08,0.0,top
J11,130.0,-50.73,180.0,top
J12,150.975,-62.48,180.0,top
J13,151.5,-29.75,270.0,top
J14,151.5,-43.75,270.0,top
J15,78.0,-182.27,0.0,top
J16,83.5,-99.0,90.0,top
J17,152.0,-183.0,0.0,top
J18,137.25,-18.0,0.0,top
J19,91.0,-18.0,0.0,top
J2,133.5,-80.98,0.0,top
J20,120.5,-18.0,0.0,top
J21,106.0,-17.975,0.0,top
J22,130.11,-114.5,270.0,top
J23,130.11,-96.5,90.0,top
J3,151.5,-87.5,270.0,top
J4,78.5,-115.19,0.0,top
J5,80.0,-153.25,90.0,top
J7,122.0,-50.73,180.0,top
J8,104.5,-43.69,0.0,top
J9,80.5,-43.49,180.0,top
R1,138.5,-82.5,90.0,top
R2,144.0,-77.0,180.0,top
R3,149.0,-77.0,0.0,top
R4,87.0,-121.5,0.0,top
R5,96.0,-121.5,180.0,top
R6,101.0,-121.5,0.0,top
